database_uid,source,db_id,scenario,scenario_zh,scenario_en,task_count,table_count,column_count,primary_key_column_count,foreign_key_count,total_rows,sqlite_file,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,schema_ref,schema_markdown_ref,tasks_ref,knowledge_ref,full_rows_task_count,verification_only_task_count
spider_data__aircraft,spider_data,aircraft,aviation_airport,机场航空,Airport and aviation,46,5,28,6,4,38,aircraft.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__aircraft/aircraft.sqlite,45056,0.043,schemas/by_database/spider_data__aircraft.json,schemas/by_database/spider_data__aircraft.md,tasks/by_database/spider_data__aircraft.jsonl,knowledge/by_database/spider_data__aircraft_knowledge_database.md,46,0
spider_data__bike_1,spider_data,bike_1,bike_micromobility,共享单车,Bike sharing,104,4,46,2,1,22181,bike_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_1/bike_1.sqlite,1785856,1.703,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,tasks/by_database/spider_data__bike_1.jsonl,knowledge/by_database/spider_data__bike_1_knowledge_database.md,100,4
spider_data__bike_racing,spider_data,bike_racing,racing_competition,赛车竞赛,Racing competition,17,3,13,4,2,28,bike_racing.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_racing/bike_racing.sqlite,28672,0.027,schemas/by_database/spider_data__bike_racing.json,schemas/by_database/spider_data__bike_racing.md,tasks/by_database/spider_data__bike_racing.jsonl,knowledge/by_database/spider_data__bike_racing_knowledge_database.md,17,0
spider_data__boat_1,spider_data,boat_1,maritime_shipping_logistics,船运物流,Maritime shipping and logistics,78,3,10,2,2,10,boat_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__boat_1/boat_1.sqlite,16384,0.016,schemas/by_database/spider_data__boat_1.json,schemas/by_database/spider_data__boat_1.md,tasks/by_database/spider_data__boat_1.jsonl,knowledge/by_database/spider_data__boat_1_knowledge_database.md,78,0
spider_data__car_1,spider_data,car_1,road_vehicle_business,道路车辆,Road vehicles,92,6,23,6,5,890,car_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_1/car_1.sqlite,65536,0.062,schemas/by_database/spider_data__car_1.json,schemas/by_database/spider_data__car_1.md,tasks/by_database/spider_data__car_1.jsonl,knowledge/by_database/spider_data__car_1_knowledge_database.md,92,0
spider_data__car_racing,spider_data,car_racing,racing_competition,赛车竞赛,Racing competition,50,4,22,5,3,38,car_racing.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_racing/car_racing.sqlite,36864,0.035,schemas/by_database/spider_data__car_racing.json,schemas/by_database/spider_data__car_racing.md,tasks/by_database/spider_data__car_racing.jsonl,knowledge/by_database/spider_data__car_racing_knowledge_database.md,50,0
spider_data__car_road_race,spider_data,car_road_race,racing_competition,赛车竞赛,Racing competition,44,2,15,2,1,20,car_road_race.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_road_race/car_road_race.sqlite,20480,0.02,schemas/by_database/spider_data__car_road_race.json,schemas/by_database/spider_data__car_road_race.md,tasks/by_database/spider_data__car_road_race.jsonl,knowledge/by_database/spider_data__car_road_race_knowledge_database.md,44,0
spider_data__flight_1,spider_data,flight_1,aviation_airport,机场航空,Airport and aviation,96,4,16,5,3,126,flight_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_1/flight_1.sqlite,36864,0.035,schemas/by_database/spider_data__flight_1.json,schemas/by_database/spider_data__flight_1.md,tasks/by_database/spider_data__flight_1.jsonl,knowledge/by_database/spider_data__flight_1_knowledge_database.md,96,0
spider_data__flight_2,spider_data,flight_2,aviation_airport,机场航空,Airport and aviation,80,3,13,4,2,1312,flight_2.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_2/flight_2.sqlite,77824,0.074,schemas/by_database/spider_data__flight_2.json,schemas/by_database/spider_data__flight_2.md,tasks/by_database/spider_data__flight_2.jsonl,knowledge/by_database/spider_data__flight_2_knowledge_database.md,80,0
spider_data__flight_4,spider_data,flight_4,aviation_airport,机场航空,Airport and aviation,82,3,24,3,3,80586,flight_4.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_4/flight_4.sqlite,3129344,2.984,schemas/by_database/spider_data__flight_4.json,schemas/by_database/spider_data__flight_4.md,tasks/by_database/spider_data__flight_4.jsonl,knowledge/by_database/spider_data__flight_4_knowledge_database.md,72,10
