database_uid,db_id,scenario,scenario_zh,task_id,question,schema_ref,task_ref
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000001,Give me the dates when the max temperature was higher than 85.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000002,What are the dates with a maximum temperature higher than 85?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000003,What are the names of stations that have latitude lower than 37.5?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000004,What are the names of all stations with a latitude smaller than 37.5?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000005,"For each city, return the highest latitude among its stations.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000006,"For each city, what is the highest latitude for its stations?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000007,Give me the start station and end station for the trips with the three oldest id.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000008,What is the station station and end station for the trips with the three smallest ids?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000009,What is the average latitude and longitude of stations located in San Jose city?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000010,What is the average latitude and longitude in San Jose?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
