task_id,legacy_task_id,scenario,scenario_zh,difficulty,analysis_dimension,uses_gis,change_type,question,supplementary_notes,output_contract
S01,M01,single_mode,单方式查询,简,总量,False,修订,今天地铁的进站量和出站量分别是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""entry_total"",""type"":""integer"",""nullable"":false},{""name"":""exit_total"",""type"":""integer"",""nullable"":false}]}"
S02,M02,single_mode,单方式查询,简,时间,False,修订,今天地铁客流如何随小时变化？按小时给出进站量和出站量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""entry_total"",""type"":""integer"",""nullable"":false},{""name"":""exit_total"",""type"":""integer"",""nullable"":false}]}"
S03,M03,single_mode,单方式查询,中,排名,False,修订,今天进站量最大的10个地铁站是哪些？给出站点ID、站名和进站量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""entry_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S04,M04,single_mode,单方式查询,中,时段构成,False,修订,今天地铁早高峰进站量是多少，占全天进站量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""morning_entry"",""type"":""integer"",""nullable"":false},{""name"":""daily_entry"",""type"":""integer"",""nullable"":false},{""name"":""morning_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
S05,M05,single_mode,单方式查询,难,进出差异,False,修订,早高峰出站量高于进站量的地铁站中，差值最大的10个站是哪些？给出进站量、出站量、差值和观测小时数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""entry_total"",""type"":""integer"",""nullable"":false},{""name"":""exit_total"",""type"":""integer"",""nullable"":false},{""name"":""difference"",""type"":""integer"",""nullable"":false},{""name"":""compared_hours"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S06,M06,single_mode,单方式查询,中,实体识别,False,修订,站名为“徐家汇”的地铁站今天每小时的进站量和出站量是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""entry_total"",""type"":""integer"",""nullable"":false},{""name"":""exit_total"",""type"":""integer"",""nullable"":false}]}"
S07,M07,single_mode,单方式查询,难,时间排名,False,修订,每个地铁站今天进站量最高的小时是什么？并列峰值全部保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""peak_hour"",""type"":""integer"",""nullable"":false},{""name"":""peak_entry"",""type"":""integer"",""nullable"":false}]}"
S08,M08,single_mode,单方式查询,中,线路构成,False,修订,今天各条地铁线路的进站量和出站量分别是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""entry_total"",""type"":""integer"",""nullable"":false},{""name"":""exit_total"",""type"":""integer"",""nullable"":false}]}"
S09,B01,single_mode,单方式查询,简,总量,False,修订,今天公交客流量总量是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_total"",""type"":""integer"",""nullable"":false}]}"
S10,B02,single_mode,单方式查询,简,时间,False,修订,今天公交客流量如何随小时变化？按小时给出客流量和有记录的线路数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""bus_total"",""type"":""integer"",""nullable"":false},{""name"":""observed_lines"",""type"":""integer"",""nullable"":false}]}"
