database_uid,db_id,source,scenario,scenario_zh,sqlite_file,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,copied_into_release,note
spider_data__aircraft,aircraft,spider_data,aviation_airport,机场航空,aircraft.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__aircraft/aircraft.sqlite,45056,0.043,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__bike_1,bike_1,spider_data,bike_micromobility,共享单车,bike_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_1/bike_1.sqlite,1785856,1.703,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__bike_racing,bike_racing,spider_data,racing_competition,赛车竞赛,bike_racing.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_racing/bike_racing.sqlite,28672,0.027,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__boat_1,boat_1,spider_data,maritime_shipping_logistics,船运物流,boat_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__boat_1/boat_1.sqlite,16384,0.016,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__car_1,car_1,spider_data,road_vehicle_business,道路车辆,car_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_1/car_1.sqlite,65536,0.062,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__car_racing,car_racing,spider_data,racing_competition,赛车竞赛,car_racing.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_racing/car_racing.sqlite,36864,0.035,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__car_road_race,car_road_race,spider_data,racing_competition,赛车竞赛,car_road_race.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__car_road_race/car_road_race.sqlite,20480,0.02,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__flight_1,flight_1,spider_data,aviation_airport,机场航空,flight_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_1/flight_1.sqlite,36864,0.035,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__flight_2,flight_2,spider_data,aviation_airport,机场航空,flight_2.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_2/flight_2.sqlite,77824,0.074,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__flight_4,flight_4,spider_data,aviation_airport,机场航空,flight_4.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_4/flight_4.sqlite,3129344,2.984,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__flight_company,flight_company,spider_data,aviation_airport,机场航空,flight_company.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_company/flight_company.sqlite,28672,0.027,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__formula_1,formula_1,spider_data,racing_competition,赛车竞赛,formula_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__formula_1/formula_1.sqlite,2940928,2.805,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__pilot_1,pilot_1,spider_data,aviation_airport,机场航空,pilot_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_1/pilot_1.sqlite,20480,0.02,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__pilot_record,pilot_record,spider_data,aviation_airport,机场航空,pilot_record.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_record/pilot_record.sqlite,28672,0.027,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__race_track,race_track,spider_data,racing_competition,赛车竞赛,race_track.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__race_track/race_track.sqlite,20480,0.02,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__railway,railway,spider_data,rail_train_station,铁路交通,railway.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__railway/railway.sqlite,36864,0.035,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__ship_1,ship_1,spider_data,maritime_shipping_logistics,船运物流,ship_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_1/ship_1.sqlite,20480,0.02,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
