database_uid,db_id,source,scenario,scenario_zh,archive_path,archive_file,archive_size_bytes,archive_size_mb,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,compression_ratio,sha256,included_files,elapsed_seconds
spider_data__aircraft,aircraft,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__aircraft.7z,spider_data__aircraft.7z,6752,0.006,Data/normalized_text2sql_tasks/database_layer/spider_data__aircraft/aircraft.sqlite,45056,0.043,0.1499,e14a2eb01b013431e019b60d6ce091ec37b95025a8919149889fa22377ec1b8e,aircraft.sqlite;database.json;knowledge.md;knowledge_database.md,0.574
spider_data__bike_1,bike_1,spider_data,bike_micromobility,共享单车,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__bike_1.7z,spider_data__bike_1.7z,294572,0.281,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_1/bike_1.sqlite,1785856,1.703,0.1649,622aaba318108375a8b43390a79c39196a66242e6a0e0fe1b3f74277432610a0,bike_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.154
spider_data__bike_racing,bike_racing,spider_data,racing_competition,赛车竞赛,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__bike_racing.7z,spider_data__bike_racing.7z,4560,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__bike_racing/bike_racing.sqlite,28672,0.027,0.1590,38589f7e153488d3be6e83976dabeb652831b3a14e1f96f186db23660fa7a542,bike_racing.sqlite;database.json;knowledge.md;knowledge_database.md,0.01
spider_data__boat_1,boat_1,spider_data,maritime_shipping_logistics,船运物流,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__boat_1.7z,spider_data__boat_1.7z,3687,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__boat_1/boat_1.sqlite,16384,0.016,0.2250,180296ec74032d15ca426ac94753aad533bfb3824dcc83298fb618769416c7aa,boat_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
spider_data__car_1,car_1,spider_data,road_vehicle_business,道路车辆,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__car_1.7z,spider_data__car_1.7z,15050,0.014,Data/normalized_text2sql_tasks/database_layer/spider_data__car_1/car_1.sqlite,65536,0.062,0.2296,b067300dcee3a7832cdb978dc06e4bb5adc5eff910974ac0ff338fc51893d07f,car_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.011
spider_data__car_racing,car_racing,spider_data,racing_competition,赛车竞赛,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__car_racing.7z,spider_data__car_racing.7z,6263,0.006,Data/normalized_text2sql_tasks/database_layer/spider_data__car_racing/car_racing.sqlite,36864,0.035,0.1699,e39a7d87f572aa6dc78f99e64fbf164b858221630048398c547a8f521d2fc78c,car_racing.sqlite;database.json;knowledge.md;knowledge_database.md,0.01
spider_data__car_road_race,car_road_race,spider_data,racing_competition,赛车竞赛,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__car_road_race.7z,spider_data__car_road_race.7z,4924,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__car_road_race/car_road_race.sqlite,20480,0.02,0.2404,f57f6b7de003391250fddb62f173fa288dccdcb8ebc8763f496a8d9199661cb1,car_road_race.sqlite;database.json;knowledge.md;knowledge_database.md,0.01
spider_data__flight_1,flight_1,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__flight_1.7z,spider_data__flight_1.7z,6713,0.006,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_1/flight_1.sqlite,36864,0.035,0.1821,88e2808661660e9b80487eb3ddee71d34301ddc5586089bf230906fcf8902b29,flight_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.01
spider_data__flight_2,flight_2,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__flight_2.7z,spider_data__flight_2.7z,17669,0.017,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_2/flight_2.sqlite,77824,0.074,0.2270,4a463a3a5774f907e5923bbd803ccc7f0057bf60c51b836848771a906edc033a,flight_2.sqlite;database.json;knowledge.md;knowledge_database.md,0.014
spider_data__flight_4,flight_4,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__flight_4.7z,spider_data__flight_4.7z,818556,0.781,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_4/flight_4.sqlite,3129344,2.984,0.2616,552b462dbf7642ba822e38763071712dffc43deec7f9015468eb4ec0045bd2be,flight_4.sqlite;database.json;knowledge.md;knowledge_database.md,0.27
spider_data__flight_company,flight_company,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__flight_company.7z,spider_data__flight_company.7z,5335,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_company/flight_company.sqlite,28672,0.027,0.1861,1e59f51960810285bdcd974fafdbf81854a495c697a4649c1306f2259926237f,flight_company.sqlite;database.json;knowledge.md;knowledge_database.md,0.01
spider_data__formula_1,formula_1,spider_data,racing_competition,赛车竞赛,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__formula_1.7z,spider_data__formula_1.7z,729080,0.695,Data/normalized_text2sql_tasks/database_layer/spider_data__formula_1/formula_1.sqlite,2940928,2.805,0.2479,2832852951dd1861794eaafb545d80484a53f9efcecfa5b6d361e63f52ac55ca,formula_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.253
spider_data__pilot_1,pilot_1,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__pilot_1.7z,spider_data__pilot_1.7z,3764,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_1/pilot_1.sqlite,20480,0.02,0.1838,64de75656a2c3d9089f4ae48f017be37c48bfb9df495faef2f221b1f58af66f2,pilot_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
spider_data__pilot_record,pilot_record,spider_data,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__pilot_record.7z,spider_data__pilot_record.7z,5154,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_record/pilot_record.sqlite,28672,0.027,0.1798,9b10f65ed8930e51b0fe6fd7a1b217b4e4514286d8e6b27eb050b53f2426aa52,pilot_record.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
