task_id,legacy_task_id,scenario,scenario_zh,difficulty,analysis_dimension,uses_gis,change_type,question
S01,M01,single_mode,单方式查询,简,总量,False,沿用,今天地铁的进站量和出站量分别是多少？
S02,M02,single_mode,单方式查询,简,时间,False,沿用,今天地铁客流如何随小时变化？按小时给出进站量和出站量。
S03,M03,single_mode,单方式查询,中,排名,False,沿用,今天进站量最大的10个地铁站是哪些？给出站点ID、站名和进站量。
S04,M04,single_mode,单方式查询,中,时段构成,False,沿用,今天地铁早高峰进站量是多少，占全天进站量的百分比是多少？
S05,M05,single_mode,单方式查询,难,进出差异,False,重分级,早高峰出站量高于进站量的地铁站中，差值最大的10个站是哪些？给出进站量、出站量、差值和观测小时数。
S06,M06,single_mode,单方式查询,中,实体识别,False,修订,站名为“徐家汇”的地铁站今天每小时的进站量和出站量是多少？
S07,M07,single_mode,单方式查询,难,时间排名,False,沿用,每个地铁站今天进站量最高的小时是什么？并列峰值全部保留。
S08,M08,single_mode,单方式查询,中,线路构成,False,沿用,今天各条地铁线路的进站量和出站量分别是多少？
S09,B01,single_mode,单方式查询,简,总量,False,沿用,今天公交客流总量是多少？
S10,B02,single_mode,单方式查询,简,时间,False,沿用,今天公交客流如何随小时变化？按小时给出客流量和有记录的线路数。
S11,B03,single_mode,单方式查询,中,排名,False,沿用,今天客流最大的10条公交线路是哪些？给出线路ID、线路名称和客流量。
S12,B04,single_mode,单方式查询,难,时段比较,False,重分级,早晚高峰六个小时都有记录的公交线路中，晚高峰比早高峰增加最多的10条线路是哪些？
S13,B05,single_mode,单方式查询,难,时间排名,False,沿用,每条公交线路今天客流最高的小时是什么？并列峰值全部保留。
S14,B06,single_mode,单方式查询,中,夜间分布,False,沿用,0至5时有哪些公交线路出现正客流？给出夜间客流和正客流小时数。
S15,B07,single_mode,单方式查询,中,名称识别,False,沿用,隧道夜宵线今天每小时的客流是多少？同名线路按线路ID分别展示。
S16,B08,single_mode,单方式查询,难,覆盖与均值,False,重分级,哪些公交线路今天有记录的小时少于18个？按有记录小时的平均客流列出前10条，并给出观测小时数、全天客流和小时平均客流。
S17,T01,single_mode,单方式查询,简,总量,False,沿用,今天各网格的出租车上车量和下车完单量合计分别是多少？
S18,T02,single_mode,单方式查询,简,时间,False,沿用,今天出租车上车量和下车完单量如何随小时变化？
S19,T03,single_mode,单方式查询,中,空间排名,False,沿用,今天出租车上车量最大的10个网格是哪些？
S20,T04,single_mode,单方式查询,中,空间排名,False,沿用,今天出租车下车完单量最大的10个网格是哪些？
S21,T05,single_mode,单方式查询,难,空间差异,False,沿用,同时有出租车上车和下车完单观测的网格小时中，下车量减上车量最大的10个是哪些？
S22,T06,single_mode,单方式查询,中,时空比较,False,沿用,早晚高峰都有出租车下车完单观测的网格中，哪些网格晚高峰高于早高峰？给出两段总量和观测小时数。
S23,T07,single_mode,单方式查询,中,集中度,False,沿用,出租车上车量最高的10个网格合计有多少上车量，占全部网格上车量的百分比是多少？
S24,T08,single_mode,单方式查询,难,组内排名,False,沿用,每个小时出租车下车完单量最大的3个网格是哪些？
S25,R02,single_mode,单方式查询,中,日内构成,False,沿用,按小时给出网约车下单量、下车完单量及其各自占全天总量的百分比。
S26,R03,single_mode,单方式查询,中,空间排名,False,沿用,今天网约车下单量最大的10个网格是哪些？
S27,R04,single_mode,单方式查询,中,时段构成,False,沿用,网约车早高峰和晚高峰下单量分别是多少，各占全天下单量的百分比是多少？
S28,R05,single_mode,单方式查询,中,阈值覆盖,False,沿用,今天有多少个网格曾在某个小时达到至少100单网约车下单量？
S29,R06,single_mode,单方式查询,难,配对条件,False,沿用,哪些网格小时出现网约车下单量大于0、下车完单量等于0？给出符合条件的网格小时总数，并列出下单量最大的10个。
S30,R07,single_mode,单方式查询,中,时段集中,False,沿用,全天网约车下单量至少100的网格中，晚高峰下单占比最高的10个是哪些？
S31,R08,single_mode,单方式查询,难,相邻变化,False,沿用,网约车下单量相邻小时增量最大的10个网格小时是什么？
S32,R10,single_mode,单方式查询,难,指标差异,False,沿用,同时有网约车下单和下车完单观测的网格小时中，下单量减下车量最大的10个是哪些？
S33,K01,single_mode,单方式查询,简,总量,False,沿用,今天各网格的共享单车锁车量合计是多少？
S34,K02,single_mode,单方式查询,简,时间,False,沿用,今天共享单车锁车量如何随小时变化？
S35,K03,single_mode,单方式查询,中,时间排名,False,沿用,今天共享单车锁车量最高的小时是什么？并列峰值全部保留。
S36,K04,single_mode,单方式查询,中,空间排名,False,沿用,今天共享单车锁车量最大的10个网格是哪些？
S37,K05,single_mode,单方式查询,中,集中度,False,沿用,共享单车锁车量最高的10个网格合计有多少锁车量，占全部网格锁车量的百分比是多少？
S38,K06,single_mode,单方式查询,难,连续变化,False,沿用,哪些网格在7、8、9时都有共享单车锁车观测，而且锁车量逐小时增加？
S39,K07,single_mode,单方式查询,中,时段构成,False,沿用,共享单车早高峰锁车量是多少，占全天锁车量的百分比是多少？
S40,K08,single_mode,单方式查询,难,时段比较,False,重分级,早晚高峰都有共享单车观测的网格中，晚高峰锁车量高于早高峰且增量最大的10个是哪些？给出两个时段的观测小时数。
X01,C01,cross_modal,多方式联合查询,中,累计变化,False,重分级,在地铁进站和公交客流都有观测的小时中，给出两项小时值及截至该小时的累计值。
X02,C02,cross_modal,多方式联合查询,难,滚动窗口,False,沿用,公交客流和网约车下单量各自最高的连续三小时窗口是什么？只使用两项都有观测的连续窗口，并列峰值全部保留。
X03,C03,cross_modal,多方式联合查询,中,峰值交集,False,重分级,五项代表指标分别达到小时峰值时，哪些交通方式对具有共同峰值小时？给出方式对和小时。
X04,C04,cross_modal,多方式联合查询,难,排名差异,False,沿用,在地铁进站和公交客流都有观测的小时中，分别按小时量使用DENSE_RANK排名，找出名次差最大的全部小时。
X05,C05,cross_modal,多方式联合查询,难,累计分位,False,沿用,在五项代表指标都有观测的共同小时中，各指标累计量首次达到本指标总量50%的小时是什么？
X06,C06,cross_modal,多方式联合查询,难,分布差异,False,沿用,在地铁进站和网约车下单都有观测的小时中，哪几个小时的两项小时占比差最大？
X07,C07,cross_modal,多方式联合查询,中,同步变化,False,重分级,哪些相邻小时中，地铁进站量和公交客流同时增加？给出两项增量。
X08,C08,cross_modal,多方式联合查询,中,反向变化,False,重分级,哪些相邻小时中，网约车下单量增加而共享单车锁车量减少？给出两项变化量。
X09,C09,cross_modal,多方式联合查询,中,覆盖组合,False,重分级,按全天是否存在出租车下客、网约车下客和共享单车锁车观测，将网格分为覆盖1、2、3项指标，分别统计网格数。
X10,C10,cross_modal,多方式联合查询,难,覆盖相似,False,沿用,8时三项网格指标的覆盖集合两两交集数、并集数和交并比是多少？
X11,C11,cross_modal,多方式联合查询,中,跨粒度关联,False,重分级,同时有共享单车锁车和网约车下客观测的网格小时中，锁车量最高的20个是哪些？
X12,C12,cross_modal,多方式联合查询,难,多尺度覆盖,False,沿用,按GeoHash前5位分区，统计出租车下客、网约车下客、共享单车锁车各自覆盖的细网格数，以及三项都覆盖的细网格数。
X13,C13,cross_modal,多方式联合查询,难,热点交集,False,沿用,哪些网格同时进入出租车下客和网约车下客全天前100名？给出两项量值和名次。
X14,C14,cross_modal,多方式联合查询,难,热点差集,False,沿用,共享单车锁车量全天前20名中，哪些网格没有进入网约车下客前20名？
X15,C15,cross_modal,多方式联合查询,难,共同范围排名,False,修订,在三项指标都有观测的网格中分别排名，哪些网格在出租车下客、网约车下客和共享单车锁车三项中均进入前200名？
X16,C16,cross_modal,多方式联合查询,难,空间排名差,False,修订,在出租车和网约车都有下客观测的网格中，分别使用DENSE_RANK排名，名次差最大的10个网格是哪些？
X17,C17,cross_modal,多方式联合查询,难,热点组合,False,沿用,哪些网格正好进入出租车下客、网约车下客、共享单车锁车三类全天前100名中的两类？
X18,C18,cross_modal,多方式联合查询,难,时段热点,False,沿用,早高峰和晚高峰中，出租车与网约车下客量各自前20个网格的交集数、并集数和交并比分别是多少？
X19,C19,cross_modal,多方式联合查询,难,局部峰值,False,沿用,对于出租车与网约车都有下客观测的网格，只在共同观测小时内比较峰值。峰值小时有重合和无重合的网格分别有多少？
X20,C20,cross_modal,多方式联合查询,难,跨时段交集,False,沿用,哪些网格同时进入早高峰共享单车锁车量前200名和晚高峰网约车下客量前200名？
X21,C21,cross_modal,多方式联合查询,难,双序列增长,False,沿用,哪些网格在7、8、9时都有网约车下客和共享单车锁车观测，而且两项指标都逐小时增加？
X22,C22,cross_modal,多方式联合查询,难,动态热点,False,沿用,每个小时分别取出租车下客、网约车下客、共享单车锁车前10名。哪些网格小时至少进入其中两类，并且每小时共有多少个？
X23,C23,cross_modal,多方式联合查询,难,局部波动,False,沿用,共同观测不少于6个小时且两项均值为正的网格中，网约车下客和共享单车锁车的峰均比差异最大的10个是哪些？
X24,C24,cross_modal,多方式联合查询,难,复合集中,False,沿用,按每小时前10个网格占本指标小时总量的比例衡量集中度。哪些小时的网约车下客和共享单车集中度都高于各自小时平均值？
X25,,cross_modal,多方式联合查询,简,总量聚合,False,新增,今天全市地铁进站量和公交客流量分别是多少？公交客流量与地铁进站量之比是多少？
X26,,cross_modal,多方式联合查询,简,时间聚合,False,新增,按小时给出出租车下客量、网约车下客量和共享单车锁车量。
X27,,cross_modal,多方式联合查询,中,时间对齐,False,新增,早高峰三个小时中，按小时给出地铁进站量、公交客流量，以及两项分别占各自早高峰总量的百分比。
X28,,cross_modal,多方式联合查询,中,指标差异,False,新增,晚高峰同时有出租车和网约车下客观测的网格中，两项下客量差的绝对值最大的10个网格是哪些？
X29,,cross_modal,多方式联合查询,中,多级聚合,False,新增,按GeoHash前5位汇总出租车下客量、网约车下客量和共享单车锁车量，列出三项合计最高的10个区域。
X30,,cross_modal,多方式联合查询,中,时段比较,False,新增,分别给出地铁进站、公交客流、出租车下客、网约车下客和共享单车锁车的早高峰与晚高峰总量。
G01,C25,spatial_gis,GIS空间关联查询,难,空间聚合与排名,True,沿用,在早高峰地铁出站量和站点500米内共享单车锁车量都有观测的站中，分别使用RANK排名，找出名次差最大的10个站。
G02,C26,spatial_gis,GIS空间关联查询,中,距离分环与粒度对齐,True,修订,站名为“徐家汇”的地铁站0至300米和300至800米两个范围内，出租车下客、网约车下客和共享单车锁车量每小时分别是多少？完整展示24小时。
G03,C27,spatial_gis,GIS空间关联查询,难,空间与峰值集合,True,沿用,地铁出站量与站点500米内共享单车锁车量共同观测不少于6个小时的站中，两项峰值小时有重合和无重合的站分别有多少？
G04,C28,spatial_gis,GIS空间关联查询,难,空间与双窗口条件,True,沿用,哪些地铁站从早高峰到晚高峰，本站出站量和500米内网约车下客量都增加？只比较六个小时都有观测的站，按网约车增量列出前10个。
G05,C29,spatial_gis,GIS空间关联查询,中,多缓冲区并集,True,重分级,所有地铁站500米网格并集内，出租车下客、网约车下客和共享单车锁车全天量分别是多少，各占对应网格总量的百分比是多少？
G06,C30,spatial_gis,GIS空间关联查询,中,空间补集与占比,True,重分级,将有出租车或网约车下客观测的网格分成地铁站500米范围内和范围外，分别计算两项指标的早高峰量、全天量和早高峰占比。
G07,C31,spatial_gis,GIS空间关联查询,难,多归属消歧,True,沿用,对于同时位于至少两个地铁站500米内的网格，将其分配给最近站。按归属站汇总晚高峰共享单车锁车量和网约车下客量。
G08,C32,spatial_gis,GIS空间关联查询,难,双缓冲区集合划分,True,修订,将站名为“徐家汇”和“上海体育馆”的两个地铁站800米范围划分为只靠近徐家汇、只靠近上海体育馆、两站都覆盖三类，比较晚高峰三项网格指标。
G09,C33,spatial_gis,GIS空间关联查询,难,站点与公交线路关联,True,沿用,每个地铁站500米内有哪些公交线路？给出线路早高峰客流和观测小时数，以及地铁站早高峰进站量和观测小时数。没有邻近公交线路的站也保留。
G10,C34,spatial_gis,GIS空间关联查询,中,空间存在与分组筛选,True,重分级,哪些公交线路在至少三个不同地铁站500米内？给出邻近站点数和线路全天客流。
G11,C35,spatial_gis,GIS空间关联查询,中,双空间条件与线路去重,True,修订,哪些公交线路同时位于站名为“徐家汇”和“上海体育馆”的两个地铁站500米内？只保留早晚高峰六个小时都有记录的线路，并给出两个时段客流。
G12,C36,spatial_gis,GIS空间关联查询,难,线路唯一空间归属,True,沿用,将每条公交线路分配给最近且距离不超过500米的地铁站。按地铁站汇总线路数和这些线路的全天客流，同时给出地铁站进站量。所有地铁站都保留。
G13,C37,spatial_gis,GIS空间关联查询,难,业务选点与空间聚合,True,沿用,先取早高峰出站量最大的10个地铁站，再合并其500米网格。三项网格指标在该范围的全天量及其占所有地铁站500米网格并集总量的百分比是多少？
G14,C38,spatial_gis,GIS空间关联查询,难,线路拓扑与空间并集,True,沿用,按地铁线路合并所属站点500米网格，计算晚高峰网约车下客量和共享单车锁车量，并分别给出线路排名。
