题号,旧题号,题型,难度,题目,DeepSeek V4 Flash结果,DeepSeek V4 Flash原因,DeepSeek V4 Flash来源,GPT-5.2结果,GPT-5.2原因,GPT-5.2来源,Qwen3.5-Plus结果,Qwen3.5-Plus原因,Qwen3.5-Plus来源
S01,M01,单方式查询,简,今天地铁的进站量和出站量分别是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S02,M02,单方式查询,简,今天地铁客流如何随小时变化？按小时给出进站量和出站量。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S03,M03,单方式查询,中,今天进站量最大的10个地铁站是哪些？给出站点ID、站名和进站量。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S04,M04,单方式查询,中,今天地铁早高峰进站量是多少，占全天进站量的百分比是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S05,M05,单方式查询,难,早高峰出站量高于进站量的地铁站中，差值最大的10个站是哪些？给出进站量、出站量、差值和观测小时数。,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S06,M06,单方式查询,中,站名为“徐家汇”的地铁站今天每小时的进站量和出站量是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
S07,M07,单方式查询,难,每个地铁站今天进站量最高的小时是什么？并列峰值全部保留。,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S08,M08,单方式查询,中,今天各条地铁线路的进站量和出站量分别是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S09,B01,单方式查询,简,今天公交客流总量是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S10,B02,单方式查询,简,今天公交客流如何随小时变化？按小时给出客流量和有记录的线路数。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S11,B03,单方式查询,中,今天客流最大的10条公交线路是哪些？给出线路ID、线路名称和客流量。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
