new_task_id,legacy_task_id,change_type,new_category,legacy_category,new_difficulty,legacy_difficulty
S01,M01,沿用,单方式查询,地铁,简,简
S02,M02,沿用,单方式查询,地铁,简,简
S03,M03,沿用,单方式查询,地铁,中,中
S04,M04,沿用,单方式查询,地铁,中,中
S05,M05,重分级,单方式查询,地铁,难,中
S06,M06,修订,单方式查询,地铁,中,中
S07,M07,沿用,单方式查询,地铁,难,难
S08,M08,沿用,单方式查询,地铁,中,中
S09,B01,沿用,单方式查询,公交,简,简
S10,B02,沿用,单方式查询,公交,简,简
S11,B03,沿用,单方式查询,公交,中,中
S12,B04,重分级,单方式查询,公交,难,中
S13,B05,沿用,单方式查询,公交,难,难
S14,B06,沿用,单方式查询,公交,中,中
S15,B07,沿用,单方式查询,公交,中,中
S16,B08,重分级,单方式查询,公交,难,中
S17,T01,沿用,单方式查询,出租车,简,简
S18,T02,沿用,单方式查询,出租车,简,简
S19,T03,沿用,单方式查询,出租车,中,中
S20,T04,沿用,单方式查询,出租车,中,中
S21,T05,沿用,单方式查询,出租车,难,难
S22,T06,沿用,单方式查询,出租车,中,中
S23,T07,沿用,单方式查询,出租车,中,中
S24,T08,沿用,单方式查询,出租车,难,难
S25,R02,沿用,单方式查询,网约车,中,中
S26,R03,沿用,单方式查询,网约车,中,中
S27,R04,沿用,单方式查询,网约车,中,中
S28,R05,沿用,单方式查询,网约车,中,中
S29,R06,沿用,单方式查询,网约车,难,难
S30,R07,沿用,单方式查询,网约车,中,中
S31,R08,沿用,单方式查询,网约车,难,难
S32,R10,沿用,单方式查询,网约车,难,难
S33,K01,沿用,单方式查询,共享单车,简,简
S34,K02,沿用,单方式查询,共享单车,简,简
S35,K03,沿用,单方式查询,共享单车,中,中
S36,K04,沿用,单方式查询,共享单车,中,中
S37,K05,沿用,单方式查询,共享单车,中,中
S38,K06,沿用,单方式查询,共享单车,难,难
S39,K07,沿用,单方式查询,共享单车,中,中
S40,K08,重分级,单方式查询,共享单车,难,中
X01,C01,重分级,多方式联合查询,联合查询 A,中,难
X02,C02,沿用,多方式联合查询,联合查询 A,难,难
X03,C03,重分级,多方式联合查询,联合查询 A,中,难
X04,C04,沿用,多方式联合查询,联合查询 A,难,难
X05,C05,沿用,多方式联合查询,联合查询 A,难,难
X06,C06,沿用,多方式联合查询,联合查询 A,难,难
X07,C07,重分级,多方式联合查询,联合查询 A,中,难
X08,C08,重分级,多方式联合查询,联合查询 A,中,难
X09,C09,重分级,多方式联合查询,联合查询 A,中,难
X10,C10,沿用,多方式联合查询,联合查询 A,难,难
X11,C11,重分级,多方式联合查询,联合查询 A,中,难
X12,C12,沿用,多方式联合查询,联合查询 A,难,难
X13,C13,沿用,多方式联合查询,联合查询 A,难,难
X14,C14,沿用,多方式联合查询,联合查询 A,难,难
X15,C15,修订,多方式联合查询,联合查询 A,难,难
X16,C16,修订,多方式联合查询,联合查询 A,难,难
X17,C17,沿用,多方式联合查询,联合查询 A,难,难
X18,C18,沿用,多方式联合查询,联合查询 A,难,难
X19,C19,沿用,多方式联合查询,联合查询 A,难,难
X20,C20,沿用,多方式联合查询,联合查询 A,难,难
X21,C21,沿用,多方式联合查询,联合查询 A,难,难
X22,C22,沿用,多方式联合查询,联合查询 A,难,难
X23,C23,沿用,多方式联合查询,联合查询 A,难,难
X24,C24,沿用,多方式联合查询,联合查询 A,难,难
X25,,新增,多方式联合查询,,简,
X26,,新增,多方式联合查询,,简,
X27,,新增,多方式联合查询,,中,
X28,,新增,多方式联合查询,,中,
X29,,新增,多方式联合查询,,中,
X30,,新增,多方式联合查询,,中,
G01,C25,沿用,GIS空间关联查询,联合查询 A,难,难
G02,C26,修订,GIS空间关联查询,联合查询 B,中,难
G03,C27,沿用,GIS空间关联查询,联合查询 B,难,难
G04,C28,沿用,GIS空间关联查询,联合查询 B,难,难
G05,C29,重分级,GIS空间关联查询,联合查询 B,中,难
G06,C30,重分级,GIS空间关联查询,联合查询 B,中,难
G07,C31,沿用,GIS空间关联查询,联合查询 B,难,难
G08,C32,修订,GIS空间关联查询,联合查询 B,难,难
G09,C33,沿用,GIS空间关联查询,联合查询 B,难,难
G10,C34,重分级,GIS空间关联查询,联合查询 B,中,难
G11,C35,修订,GIS空间关联查询,联合查询 B,中,难
G12,C36,沿用,GIS空间关联查询,联合查询 B,难,难
G13,C37,沿用,GIS空间关联查询,联合查询 B,难,难
G14,C38,沿用,GIS空间关联查询,联合查询 B,难,难
G15,C39,沿用,GIS空间关联查询,联合查询 B,难,难
G16,C40,沿用,GIS空间关联查询,联合查询 B,难,难
G17,C41,沿用,GIS空间关联查询,联合查询 B,难,难
G18,C42,沿用,GIS空间关联查询,联合查询 B,难,难
G19,C43,重分级,GIS空间关联查询,联合查询 B,中,难
G20,C44,沿用,GIS空间关联查询,联合查询 B,难,难
G21,C45,重分级,GIS空间关联查询,联合查询 B,中,难
G22,C46,重分级,GIS空间关联查询,联合查询 B,中,难
G23,C47,沿用,GIS空间关联查询,联合查询 B,难,难
G24,C48,沿用,GIS空间关联查询,联合查询 B,难,难
G25,C49,沿用,GIS空间关联查询,联合查询 B,难,难
G26,C50,沿用,GIS空间关联查询,联合查询 B,难,难
G27,,新增,GIS空间关联查询,,简,
G28,,新增,GIS空间关联查询,,简,
G29,,新增,GIS空间关联查询,,中,
G30,,新增,GIS空间关联查询,,中,
